FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,AIAN,Asian,NHOPI,Hispanic,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
01001,Autauga County,Alabama,59285,0.23489921565320065,0.6052964493548115,0.15980433499198785,0.7168255039217339,0.19952770515307414,0.0007084422703887999,0.010103736189592646,0.0,0.03690646875263558,0.03592814371257485,0.014742316088993549,0.8479162067358402,0.2828267961831874,0.12294257610322074,0.593231868038432
01003,Baldwin County,Alabama,239945,0.21308216466273522,0.5730104815686928,0.21390735376857195,0.8141324053428911,0.07939736189543437,0.0025339140219633664,0.00941465752568297,0.00032507449623872135,0.05581695805288712,0.038379628664902375,0.020582831360327465,0.8672407377258878,0.3279763704444496,0.1224504035165244,0.624135446375023
01005,Barbour County,Alabama,24757,0.20927414468635133,0.5935694954962233,0.19715635981742538,0.43652300359494284,0.46899866704366444,0.0013733489518116088,0.005493395807246435,0.0,0.06018499818233227,0.027426586420002425,0.06932153392330384,0.703710006807352,0.11464715225777172,0.047764919446335374,0.340800063434167
01007,Bibb County,Alabama,22152,0.20124593716143013,0.6291982665222102,0.1695557963163597,0.7373149151318166,0.20697905381003973,0.0010834236186348862,0.002302275189599133,0.0,0.03358613217768147,0.01873420007222824,0.06503044378883938,0.7341660912685958,0.11468206641139916,0.044316113238340345,0.0
01009,Blount County,Alabama,59292,0.2317007353437226,0.5824563178843689,0.18584294677190852,0.8495918505025973,0.0125986642380085,0.0010119409026512851,0.0008601497672535924,0.0014841799905552183,0.10055319436011603,0.03390002023881805,0.06337976629016126,0.7540191749408407,0.1557902954307043,0.05606108657998097,0.0951060303716982
01011,Bullock County,Alabama,10157,0.20724623412424928,0.6138623609333465,0.17889140494240424,0.21098749630796496,0.7122181746578714,0.0,0.004627350595648321,0.0,0.05680811263168258,0.015358865806832727,0.09433450799674709,0.6682027649769585,0.08999728923827595,0.023177012740580104,0.0
01013,Butler County,Alabama,18807,0.22433136598075185,0.5615994044770564,0.21406922954219174,0.5067793906524166,0.4472270962939331,0.0036688467060137183,0.013239751156484288,0.0,0.01595150741745095,0.013133407773701282,0.0445913096323306,0.8095563658462473,0.13764813126709208,0.05818900030385901,0.305653246548738
01015,Calhoun County,Alabama,116141,0.21378324622656944,0.6059272780499565,0.18028947572347406,0.698271928087411,0.21550529098251264,0.0016187220705866146,0.007387572002996358,0.0017048243083837749,0.04434265246553758,0.031169010082572047,0.043025932567693034,0.7916237424803184,0.20545105370928562,0.08027776717921324,0.635059815700655
01017,Chambers County,Alabama,34450,0.20728592162554427,0.5928882438316401,0.19982583454281566,0.5391872278664731,0.3972133526850508,0.00023222060957910014,0.005834542815674891,8.708272859216256e-05,0.03686502177068215,0.02058055152394775,0.058977291292272506,0.7660921418068943,0.14585035124979578,0.04839895441921255,0.492551478200851
01019,Cherokee County,Alabama,25224,0.18819378369806533,0.5738185854741517,0.23798763082778307,0.9072312083729781,0.0373453853472883,0.003766254360926102,0.001308277830637488,0.0,0.01732477006026007,0.03302410402790993,0.053043617191244605,0.7745113702934441,0.1594503914363317,0.06752942429568089,0.0
01021,Chilton County,Alabama,45500,0.24101098901098902,0.5900659340659341,0.16892307692307693,0.7710329670329671,0.09153846153846154,0.0003736263736263736,0.004879120879120879,0.00035164835164835164,0.09865934065934066,0.03316483516483516,0.057013692392753765,0.7816047094025433,0.1524701596903763,0.0595180017562689,0.144555027324832
01023,Choctaw County,Alabama,12525,0.1989620758483034,0.5629540918163672,0.23808383233532934,0.5655888223552894,0.38139720558882234,0.0011976047904191617,0.0017564870259481038,0.0,0.010858283433133732,0.039201596806387226,0.05856857079350967,0.7985107801733718,0.13914203156256946,0.04012002667259391,0.0
01025,Clarke County,Alabama,22802,0.21708622050697307,0.5767037979124638,0.2062099815805631,0.5119726339794755,0.4534689939478993,0.0003947022191035874,0.0031137619507060786,0.0,0.011446364354004035,0.019603543548811508,0.04215207315545534,0.796442440185394,0.15426531379180758,0.05749718151071026,0.0
01027,Clay County,Alabama,14188,0.20665351000845786,0.5882435861291232,0.20510290386241894,0.7933464899915421,0.12968705948689033,0.0013391598533972371,0.003312658584719481,0.0,0.03178742599379757,0.040527206089653225,0.056438249342041134,0.7748318549566234,0.15235403060727165,0.03986743347304805,0.0
01029,Cleburne County,Alabama,15254,0.2181067261046283,0.5775534286088895,0.20433984528648225,0.9254621738560378,0.03920283204405402,0.0017700275337616362,0.0010489052051920807,0.0,0.020060312049298545,0.012455749311655958,0.04327409999079274,0.7863916766411932,0.18211951017401712,0.07154037381456588,0.0
01031,Coffee County,Alabama,54231,0.24054507569471337,0.5883904040124652,0.17106452029282146,0.6790765429366967,0.15900499714185615,0.004112039239549335,0.009293577474138408,0.000903542254430123,0.0939683944607328,0.053640906492596487,0.04546932581833948,0.8078799046173857,0.21528831562974204,0.09343160632993713,0.524698400822968
01033,Colbert County,Alabama,57648,0.21355467665834027,0.5852241187898973,0.20122120455176243,0.7744934776575076,0.15790660560643907,0.001474465723008604,0.003972384124340827,0.000329586455731335,0.03278517901748543,0.029038301415487095,0.030504172970862414,0.8168529454829421,0.20271853189516326,0.07401532529650057,0.597043353661733
01035,Conecuh County,Alabama,11411,0.20199807203575498,0.5549031636140566,0.2430987643501884,0.5006572605380772,0.4541232144422049,0.0014897905529751994,0.002366137937078258,0.0,0.008851108579440891,0.03251248795022347,0.02399409376153562,0.8251507321274764,0.13129075919773595,0.06176941060661991,0.0
